,study id,study link,name of data file in study,name of metadata column,phenotype keyword,label of class 1,label of class 0,technology platform,technique category,affiliation,organism,organism category,release date,number of samples in class 0,number of samples in class 1,number of samples,number of features,fatness,score of the best method,score of the best univariate method,score of the best multivariate method,name of the best multivariate method,tendency,text description of the dataset,text description embedding PC0,text description embedding PC1
MTBLS12-v2maf-leaf-otherparts,MTBLS12,https://www.ebi.ac.uk/metabolights/editor/MTBLS12,"m_Metabolomic profiles in short day, after bolting, single leaf analysis, Arabidopsis thaliana_v2_maf.tsv",Characteristics[Organism part],other,leaf,cotyledon,GC-MS,GCMS,Max Planck Institute of Molekular Plant Physiology,?,other or unknown,2015-09-14,20.0,49.0,69,67,0.9710144927536232,0.984375,0.8799558080808081,0.984375,SVMlinear,multivariate models performs better than univariate models,phenotype description  organism part  values  leaf  cotyledon  organism  nan,0.2504119704561656,-0.0138661736093158
MTBLS13-v2maf-leaf-otherparts,MTBLS13,https://www.ebi.ac.uk/metabolights/editor/MTBLS13,"m_Metabolomic profiles in short day, before bolting, single leaf analysis, Arabidopsis thaliana_v2_maf.tsv",Characteristics[Organism part],other,leaf,cotyledon,GC-MS,GCMS,Max Planck Institute of Molekular Plant Physiology,?,other or unknown,2015-09-14,12.0,71.0,83,59,0.7108433734939759,0.8981026785714286,0.8981026785714286,0.8603050595238095,RF,univariate models performs better than multivariate models,phenotype description  organism part  values  leaf  cotyledon  organism  nan,0.2503858576009587,-0.0138183285591575
MTBLS14-v2maf-saltafter8days-nosalt,MTBLS14,https://www.ebi.ac.uk/metabolights/editor/MTBLS14,m_Metabolomic responses to long-term salt stress in related Lotus species (A)_v2_maf.tsv,Factor Value[Salt_Quantity_after_08d],other,50,0,GC-MS,GCMS,"Max Planck Institute of Molecular Plant Physiology, Potsdam, Germany",?,other or unknown,2015-09-14,48.0,48.0,96,51,0.53125,1.0,0.8633680555555555,1.0,ElasticNet,multivariate models performs better than univariate models,phenotype description  salt_quantity_after_08d  values  50  0  organism  nan,0.2426272118856415,0.1575328696159249
MTBLS15-v2maf-saltafter8days-nosalt,MTBLS15,https://www.ebi.ac.uk/metabolights/editor/MTBLS15,m_Metabolomic responses to long-term salt stress in related Lotus species (B)_v2_maf.tsv,Factor Value[Salt_Quantity_after_08d],other,50,0,GC-MS,GCMS,"Max Planck Institute of Molecular Plant Physiology, Potsdam, Germany",?,other or unknown,2015-09-14,48.0,47.0,95,47,0.4947368421052631,0.9869791666666666,0.8706439393939394,0.9869791666666666,ElasticNet,multivariate models performs better than univariate models,phenotype description  salt_quantity_after_08d  values  50  0  organism  nan,0.2426272118856415,0.1575328696159249
MTBLS16-v2maf-saltafter8days-nosalt,MTBLS16,https://www.ebi.ac.uk/metabolights/editor/MTBLS16,m_Metabolomic responses to long-term salt stress in related Lotus species (C)_v2_maf.tsv,Factor Value[Salt_Quantity_after_08d],other,50,0,GC-MS,GCMS,"Max Planck Institute of Molecular Plant Physiology, Potsdam, Germany",?,other or unknown,2015-09-14,42.0,41.0,83,42,0.5060240963855421,1.0,0.9832589285714286,1.0,GBtree,multivariate and univariate models are equivalent,phenotype description  salt_quantity_after_08d  values  50  0  organism  nan,0.2426272118856415,0.1575328696159249
MTBLS16-v2maf-Lotusjaponicus-otherLotus,MTBLS16,https://www.ebi.ac.uk/metabolights/editor/MTBLS16,m_Metabolomic responses to long-term salt stress in related Lotus species (C)_v2_maf.tsv,Characteristics[Organism],other,Lotus japonicus,Lotus filicaulis,GC-MS,GCMS,"Max Planck Institute of Molecular Plant Physiology, Potsdam, Germany",?,other or unknown,2015-09-14,59.0,24.0,83,42,0.5060240963855421,0.9828125,0.9026766636141638,0.9828125,PLSDA,multivariate models performs better than univariate models,phenotype description  organism  values  lotus japonicus  lotus filicaulis  organism  nan,0.246511339848537,-0.0058980095766466
MTBLS17-mtbls17posmetaboliteprofilingmassspectrometryv2maf-Inj1-Inj2,MTBLS17,https://www.ebi.ac.uk/metabolights/editor/MTBLS17,m_live_mtbls17pos_metabolite profiling_mass spectrometry_v2_maf.tsv,Factor Value[Injection],other,Inj1,Inj2,UPLC Q-TOF Premier (Waters),?,Georgetown university,?,other or unknown,2013-06-30,262.0,262.0,524,7,0.0133587786259541,0.5442943555442719,0.5442943555442719,0.5348348588512906,SVMlinear,no models performs better than the baseline,phenotype description  injection  values  inj1  inj2  organism  nan,0.1025677347028076,0.287488333208354
MTBLS17-mtbls17posmetaboliteprofilingmassspectrometryv2maf-CRR-HCC,MTBLS17,https://www.ebi.ac.uk/metabolights/editor/MTBLS17,m_live_mtbls17pos_metabolite profiling_mass spectrometry_v2_maf.tsv,Factor Value[Disease],disease,CRR,HCC,UPLC Q-TOF Premier (Waters),?,Georgetown university,?,other or unknown,2013-06-30,156.0,368.0,524,7,0.0133587786259541,0.7241026802049599,0.5087170708884329,0.7241026802049599,XGBoost,multivariate models performs better than univariate models,phenotype description  disease  values  crr  hcc  organism  nan,-0.0237032854425389,0.1736406934750579
MTBLS17-mtbls17posmetaboliteprofilingmassspectrometryv2maf-Exp1-Exp2,MTBLS17,https://www.ebi.ac.uk/metabolights/editor/MTBLS17,m_live_mtbls17pos_metabolite profiling_mass spectrometry_v2_maf.tsv,Factor Value[Experiment],other,Exp1,Exp2,UPLC Q-TOF Premier (Waters),?,Georgetown university,?,other or unknown,2013-06-30,126.0,378.0,504,7,0.0138888888888888,0.7657538396609362,0.5101474179150467,0.7657538396609362,SVMrbf,multivariate models performs better than univariate models,phenotype description  experiment  values  exp1  exp2  organism  nan,0.1324846677542003,0.2305448415514104
MTBLS22-v2maf-saltafter8days25-saltafter8days10or0,MTBLS22,https://www.ebi.ac.uk/metabolights/editor/MTBLS22,m_Mining for metabolic responses to long-term salt stress a case study on Arabidopsis thaliana Col-0 (A)_v2_maf.tsv,Factor Value[Salt_Quantity_after_08d],other,25,0,GC-MS,GCMS,Max Planck Institute of Molecular Plant Physiology,?,other or unknown,2015-09-14,12.0,18.0,30,63,2.1,0.9635416666666666,0.9635416666666666,0.9635416666666666,rSCM,multivariate and univariate models are equivalent,phenotype description  salt_quantity_after_08d  values  25  0  organism  nan,0.2446168235450999,0.1539138561797157
MTBLS24-metaboliteprofilingNMRspectroscopy15102012v2maf-AcuteKidneyInjury-Biopsykidneynormal,MTBLS24,https://www.ebi.ac.uk/metabolights/editor/MTBLS24,m_helena_metabolite profiling_NMR spectroscopy_15_10_2012_v2_maf.tsv,Factor Value[Acute Kidney Injury],other,Acute Kidney Injury,Biopsy kidney normal,Bruker,?,University of Regensburg,?,other or unknown,2012-10-21,72.0,34.0,106,701,6.613207547169812,0.8358373397435898,0.8358373397435898,0.7889127365689865,SCM,univariate models performs better than multivariate models,phenotype description  acute kidney injury  values  acute kidney injury  biopsy kidney normal  organism  nan,-0.0298798012873505,0.2339715087550258
MTBLS27-metaboliteprofilingmassspectrometryv2maf-ColorectalCancerStages2and3-ColorectalCancerStage4,MTBLS27,https://www.ebi.ac.uk/metabolights/editor/MTBLS27,m_mtbls27_metabolite profiling_mass spectrometry_v2_maf.tsv,Factor Value[Disease staging],cancer,Stage IV Colorectal Cancer,Stage II Colorectal Cancer,GCT Premier (Waters),?,University of Calgary,?,other or unknown,2016-12-15,21.0,27.0,48,35,0.7291666666666666,0.6629464285714286,0.6425595238095237,0.6629464285714286,SCM,multivariate models performs better than univariate models,phenotype description  disease staging  values  stage iv colorectal cancer  stage ii colorectal cancer  organism  nan,-0.0734926887542315,0.1478425767951875
MTBLS27-metaboliteprofilingmassspectrometryv2maf-ColorectalCancerStages2to4-HealthyControl,MTBLS27,https://www.ebi.ac.uk/metabolights/editor/MTBLS27,m_mtbls27_metabolite profiling_mass spectrometry_v2_maf.tsv,Factor Value[Disease staging],cancer,Stage II Colorectal Cancer,Healthy Control,GCT Premier (Waters),?,University of Calgary,?,other or unknown,2016-12-15,48.0,48.0,96,35,0.3645833333333333,0.6194049006549007,0.6194049006549007,0.546674852924853,RF,univariate models performs better than multivariate models,phenotype description  disease staging  values  stage ii colorectal cancer  healthy control  organism  nan,-0.0933162761331335,0.1748812710812614
MTBLS28-NEGv2maf-CurrentSmoker-FormerSmoker,MTBLS28,https://www.ebi.ac.uk/metabolights/editor/MTBLS28,m_mtbls28_NEG_v2_maf.tsv,Factor Value[Smoking],other,Current Smoker,Former Smoker,Xevo QTof MS (Waters),?,"NIAMS/NIH, Bethesda, MD",?,other or unknown,2014-05-06,463.0,293.0,756,1359,1.7976190476190477,0.7781022581340636,0.7368458328231404,0.7781022581340636,GBtree,multivariate models performs better than univariate models,phenotype description  smoking  values  current smoker  former smoker  organism  nan,0.014355886920255,0.1097726526982712
MTBLS28-POSv2maf-CurrentSmoker-FormerSmoker,MTBLS28,https://www.ebi.ac.uk/metabolights/editor/MTBLS28,m_mtbls28_POS_v2_maf.tsv,Factor Value[Smoking],other,Current Smoker,Former Smoker,Xevo QTof MS (Waters),?,"NIAMS/NIH, Bethesda, MD",?,other or unknown,2014-05-06,463.0,293.0,756,1807,2.39021164021164,0.7955756723200753,0.7889554651568369,0.7955756723200753,GBtree,multivariate and univariate models are equivalent,phenotype description  smoking  values  current smoker  former smoker  organism  nan,0.014355886920255,0.1097726526982712
MTBLS28-NEGv2maf-NeverSmoker-CurrentSmoker,MTBLS28,https://www.ebi.ac.uk/metabolights/editor/MTBLS28,m_mtbls28_NEG_v2_maf.tsv,Factor Value[Smoking],other,Never Smoker,Current Smoker,Xevo QTof MS (Waters),?,"NIAMS/NIH, Bethesda, MD",?,other or unknown,2014-05-06,293.0,249.0,542,1359,2.507380073800738,0.8019029356147407,0.7393547202989654,0.8019029356147407,SCMBoost,multivariate models performs better than univariate models,phenotype description  smoking  values  never smoker  current smoker  organism  nan,0.0368376906151773,0.1157360323076124
MTBLS28-POSv2maf-NeverSmoker-FormerSmoker,MTBLS28,https://www.ebi.ac.uk/metabolights/editor/MTBLS28,m_mtbls28_POS_v2_maf.tsv,Factor Value[Smoking],other,Never Smoker,Former Smoker,Xevo QTof MS (Waters),?,"NIAMS/NIH, Bethesda, MD",?,other or unknown,2014-05-06,463.0,249.0,712,1807,2.537921348314607,0.5923208926066941,0.5888920015474438,0.5923208926066941,SVMlinear,multivariate and univariate models are equivalent,phenotype description  smoking  values  never smoker  former smoker  organism  nan,0.0375348090866322,0.127126785899649
MTBLS28-NEGv2maf-NeverSmoker-FormerSmoker,MTBLS28,https://www.ebi.ac.uk/metabolights/editor/MTBLS28,m_mtbls28_NEG_v2_maf.tsv,Factor Value[Smoking],other,Never Smoker,Former Smoker,Xevo QTof MS (Waters),?,"NIAMS/NIH, Bethesda, MD",?,other or unknown,2014-05-06,463.0,249.0,712,1359,1.9087078651685396,0.5893840109626992,0.5460054661894593,0.5893840109626992,SVMlinear,multivariate models performs better than univariate models,phenotype description  smoking  values  never smoker  former smoker  organism  nan,0.0375348090866322,0.127126785899649
MTBLS28-POSv2maf-NeverSmoker-CurrentSmoker,MTBLS28,https://www.ebi.ac.uk/metabolights/editor/MTBLS28,m_mtbls28_POS_v2_maf.tsv,Factor Value[Smoking],other,Never Smoker,Current Smoker,Xevo QTof MS (Waters),?,"NIAMS/NIH, Bethesda, MD",?,other or unknown,2014-05-06,293.0,249.0,542,1807,3.333948339483394,0.8548403291138493,0.8026674314509293,0.8548403291138493,AdaBoost,multivariate models performs better than univariate models,phenotype description  smoking  values  never smoker  current smoker  organism  nan,0.0368376906151773,0.1157360323076124
MTBLS30-srcFIAmassspectrometryv2maf-skeletalmuscle-rest,MTBLS30,https://www.ebi.ac.uk/metabolights/editor/MTBLS30,m_york_src_FIA_mass_spectrometry_v2_maf.tsv,Factor Value[tissue source],other,skeletal_muscle,liver,Quattro micro API (Waters),?,Duke University School of Medicine,?,other or unknown,?,240.0,60.0,300,77,0.2566666666666666,1.0,0.9650481419891358,1.0,GBtree,multivariate models performs better than univariate models,phenotype description  tissue source  values  skeletal_muscle  liver  organism  nan,-0.0067149082014023,0.2133130322189114
MTBLS30-srcFIAmassspectrometryv2maf-brain-rest,MTBLS30,https://www.ebi.ac.uk/metabolights/editor/MTBLS30,m_york_src_FIA_mass_spectrometry_v2_maf.tsv,Factor Value[tissue source],other,brain,liver,Quattro micro API (Waters),?,Duke University School of Medicine,?,other or unknown,?,240.0,60.0,300,77,0.2566666666666666,1.0,0.9973115171137836,1.0,GBtree,multivariate and univariate models are equivalent,phenotype description  tissue source  values  brain  liver  organism  nan,-0.0147490017994264,0.2257027989324082
MTBLS30-srcFIAmassspectrometryv2maf-fed-fasted,MTBLS30,https://www.ebi.ac.uk/metabolights/editor/MTBLS30,m_york_src_FIA_mass_spectrometry_v2_maf.tsv,Factor Value[feeding],other,fed,fasted,Quattro micro API (Waters),?,Duke University School of Medicine,?,other or unknown,?,150.0,150.0,300,77,0.2566666666666666,0.944254527218748,0.7440423729949113,0.944254527218748,GBtree,multivariate models performs better than univariate models,phenotype description  feeding  values  fed  fasted  organism  nan,0.1066634443220383,0.2601977354469618
MTBLS30-srcFIAmassspectrometryv2maf-Src3wildtype-Src3knockout,MTBLS30,https://www.ebi.ac.uk/metabolights/editor/MTBLS30,m_york_src_FIA_mass_spectrometry_v2_maf.tsv,Factor Value[genotype],mutation,Src3 wild-type,Src3 knockout,Quattro micro API (Waters),?,Duke University School of Medicine,?,other or unknown,?,50.0,50.0,100,77,0.77,0.6498709623709624,0.5810659826284827,0.6498709623709624,SVMrbf,multivariate models performs better than univariate models,phenotype description  genotype  values  src3 wild-type  src3 knockout  organism  nan,0.0718522442502554,0.28098584800351
MTBLS30-srcFIAmassspectrometryv2maf-Src2wildtype-Src2knockout,MTBLS30,https://www.ebi.ac.uk/metabolights/editor/MTBLS30,m_york_src_FIA_mass_spectrometry_v2_maf.tsv,Factor Value[genotype],mutation,Src2 wild-type,Src2 knockout,Quattro micro API (Waters),?,Duke University School of Medicine,?,other or unknown,?,50.0,50.0,100,77,0.77,0.7339738386613387,0.6165067571317572,0.7339738386613387,PLSDA,multivariate models performs better than univariate models,phenotype description  genotype  values  src2 wild-type  src2 knockout  organism  nan,0.0555898021104878,0.2954705582492984
MTBLS30-srcFIAmassspectrometryv2maf-Src1wildtype-Src1knockout,MTBLS30,https://www.ebi.ac.uk/metabolights/editor/MTBLS30,m_york_src_FIA_mass_spectrometry_v2_maf.tsv,Factor Value[genotype],mutation,Src1 wild-type,Src1 knockout,Quattro micro API (Waters),?,Duke University School of Medicine,?,other or unknown,?,50.0,50.0,100,77,0.77,0.7313493797868797,0.6438689782439782,0.7313493797868797,SVMlinear,multivariate models performs better than univariate models,phenotype description  genotype  values  src1 wild-type  src1 knockout  organism  nan,0.0655958210245704,0.292057387048927
MTBLS30-srcFIAmassspectrometryv2maf-plasma-rest,MTBLS30,https://www.ebi.ac.uk/metabolights/editor/MTBLS30,m_york_src_FIA_mass_spectrometry_v2_maf.tsv,Factor Value[tissue source],other,plasma,liver,Quattro micro API (Waters),?,Duke University School of Medicine,?,other or unknown,?,240.0,60.0,300,77,0.2566666666666666,1.0,1.0,1.0,GBtree,multivariate and univariate models are equivalent,phenotype description  tissue source  values  plasma  liver  organism  nan,0.0067762902742298,0.2494339170492586
MTBLS30-srcFIAmassspectrometryv2maf-liver-rest,MTBLS30,https://www.ebi.ac.uk/metabolights/editor/MTBLS30,m_york_src_FIA_mass_spectrometry_v2_maf.tsv,Factor Value[tissue source],other,liver,heart,Quattro micro API (Waters),?,Duke University School of Medicine,?,other or unknown,?,240.0,60.0,300,77,0.2566666666666666,1.0,0.9986702127659576,1.0,GBtree,multivariate and univariate models are equivalent,phenotype description  tissue source  values  liver  heart  organism  nan,0.0097733230789774,0.2142548094700291
MTBLS30-srcFIAmassspectrometryv2maf-heart-rest,MTBLS30,https://www.ebi.ac.uk/metabolights/editor/MTBLS30,m_york_src_FIA_mass_spectrometry_v2_maf.tsv,Factor Value[tissue source],other,heart,liver,Quattro micro API (Waters),?,Duke University School of Medicine,?,other or unknown,?,240.0,60.0,300,77,0.2566666666666666,1.0,1.0,1.0,ElasticNet,multivariate and univariate models are equivalent,phenotype description  tissue source  values  heart  liver  organism  nan,-0.001293261540118,0.1987501906866972
