,id,file,n samples,n features,metadata column,1 label,0 label,Study Assay Technology Platform,affiliation,release date,organism,baseline majoritary score,best univariate score,best method score,best algo name,best algo score,tendency,number of algos runned,n zeros in y,n ones in y,best linear-based algo name,best linear-based algo score,best rule-based algo name,best rule-based algo score,technique category,organism curated,organism category,phenotype description combined,embeddings_PC0,embeddings_PC1,phenotype keyword,difference ML univariate,absolute difference |ML - univariate|,best overall score,fatness,is fat,release year,difference rule-based - linear-based,structure of best method
MTBLS1015-MTBLS1015LCMSmetaboliteprofiling-SeroconvertedNoDiabetesP1Ab-HealthyControlsCTRL,MTBLS1015,m_MTBLS1015_LC-MS___metabolite_profiling_v2_maf.tsv,84,658,Factor Value[Disease Status],Seroconverted_No_Diabetes (P1Ab),Healthy Controls (CTRL),Liquid Chromatography MS,"Turku Bioscience Centre, University of Turku and Åbo Akademi University, FI-20520, Turku, Finland.",2020-08-10,Homo sapiens,0.5,0.6466450216450217,0.6466450216450217,SVMlinear,0.5358495670995671,univariate models performs better than multivariate models,?,29.0,55.0,SVMlinear,0.5358495670995671,rSCM,0.49479166666666663,LCMS,Homo sapiens,Homo sapiens,phenotype description  disease status  values  seroconverted_no_diabetes (p1ab)  healthy controls (ctrl)  organism  homo sapiens,0.30084990272115886,0.03139133379034216,disease,-0.11079545454545459,0.11079545454545459,0.6466450216450217,7.833333333333333,True,2020,-0.041057900432900474,univariate
MTBLS103-ibanez02RPLCmassspectrometry-HIAE-CTR,MTBLS103,m_ibanez_02_RP_LC_mass_spectrometry_v2_maf.tsv,26,13,Factor Value[HIAE],HIAE,CTR,UHPLC system (1290 Agilent),CIBERDEM,2015-04-09,Homo sapiens,0.5,0.9791666666666666,1.0,XGBoost,1.0,multivariate models performs better than univariate models,?,14.0,12.0,SVMlinear,1.0,XGBoost,1.0,other,Homo sapiens,Homo sapiens,phenotype description  hiae  values  hiae  ctr  organism  homo sapiens,0.2254053812268502,-0.16654372691954744,other,0.02083333333333337,0.02083333333333337,1.0,0.5,False,2015,0.0,rule-based multivariate
MTBLS103-ibanez02metaboliteprofilingmassspectrometry-HIAE-CTR,MTBLS103,m_ibanez_02_metabolite_profiling_mass_spectrometry_v2_maf.tsv,26,13,Factor Value[HIAE],HIAE,CTR,UHPLC system (1290 Agilent),CIBERDEM,2015-04-09,Homo sapiens,0.5,0.9791666666666666,1.0,XGBoost,1.0,multivariate models performs better than univariate models,?,14.0,12.0,SVMlinear,1.0,XGBoost,1.0,other,Homo sapiens,Homo sapiens,phenotype description  hiae  values  hiae  ctr  organism  homo sapiens,0.2254053812268502,-0.16654372691954744,other,0.02083333333333337,0.02083333333333337,1.0,0.5,False,2015,0.0,rule-based multivariate
MTBLS1041-MTBLS1041metaboliteprofilingmassspectrometry-Pathologic-Normal,MTBLS1041,m_MTBLS1041_metabolite_profiling_mass_spectrometry_v2_maf.tsv,188,69,Factor Value[Disease],Pathologic,Normal,Liquid Chromatography MS - Positive (LC-MS (Positive)),"Neonatal Research Group, Health Research Institute Hospital La Fe, Avenida Fernando Abril Martorell 106, 46026 Valencia, Spain",2021-11-09,Homo sapiens,0.5,0.5861203115582913,0.7443023352038697,AdaBoost,0.7443023352038697,multivariate models performs better than univariate models,?,75.0,113.0,SVMrbf,0.7170387948936542,AdaBoost,0.7443023352038697,LCMS,Homo sapiens,Homo sapiens,phenotype description  disease  values  pathologic  normal  organism  homo sapiens,0.35593748931982794,-0.14260776343043333,disease,0.15818202364557843,0.15818202364557843,0.7443023352038697,0.3670212765957447,False,2021,0.027263540310215495,rule-based multivariate
MTBLS112-wheatmetabolomemetaboliteprofilingmassspectrometry-deoxynivalenol-Control,MTBLS112,m_wheat_metabolome_metabolite_profiling_mass_spectrometry_v2_maf.tsv,296,58,Factor Value[Treatment],deoxynivalenol,Control,5975C Series GC/MSD (Agilent),"Department for Agrobiotechnology (IFA-Tulln), Center for Analytical Chemistry and Institute for Biotechnology in Plant Production, University of Natural Resources and Life Sciences, Vienna (BOKU)",2014-10-17,Triticum aestivum,0.5,0.8749549943381326,0.8953018103033439,GBtree,0.8953018103033439,multivariate models performs better than univariate models,?,148.0,148.0,SVMlinear,0.890960446110981,GBtree,0.8953018103033439,GCMS,Plants,plants,phenotype description  treatment  values  deoxynivalenol  control  organism  triticum aestivum,-0.2711696408084056,-0.012627048857240608,treatment,0.020346815965211262,0.020346815965211262,0.8953018103033439,0.19594594594594594,False,2014,0.004341364192362862,rule-based multivariate
MTBLS1122-MTBLS1122LCMSpositivehilicmetaboliteprofiling-Ascendingcoloncancer-Descendingcoloncancer,MTBLS1122,m_MTBLS1122_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv,179,10,Factor Value[Disease],Ascending colon cancer,Descending colon cancer,Liquid Chromatography MS - positive - hilic,"Department of Environmental Health Sciences, Yale School of Public Health, Yale University, New Haven, CT, USA",2020-03-19,Homo sapiens,0.5,0.5700878681432087,0.5705885660607023,DT,0.5705885660607023,multivariate and univariate models are equivalent,?,81.0,98.0,SVMlinear,0.5629765933026382,DT,0.5705885660607023,LCMS,Homo sapiens,Homo sapiens,phenotype description  disease  values  ascending colon cancer  descending colon cancer  organism  homo sapiens,0.27644507617065106,-0.14380588686692544,cancer,0.000500697917493631,0.000500697917493631,0.5705885660607023,0.055865921787709494,False,2020,0.007611972758064134,univariate
MTBLS1122-MTBLS1122LCMSpositivehilicmetaboliteprofiling-Ascendingcoloncancer-Healthy,MTBLS1122,m_MTBLS1122_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv,137,10,Factor Value[Disease],Ascending colon cancer,Healthy,Liquid Chromatography MS - positive - hilic,"Department of Environmental Health Sciences, Yale School of Public Health, Yale University, New Haven, CT, USA",2020-03-19,Homo sapiens,0.5,0.7278322602964632,0.8190751848985208,SVMrbf,0.8190751848985208,multivariate models performs better than univariate models,?,39.0,98.0,SVMrbf,0.8190751848985208,rSCM,0.7602778950495669,LCMS,Homo sapiens,Homo sapiens,phenotype description  disease  values  ascending colon cancer  healthy  organism  homo sapiens,0.31877677836069956,-0.136517490795876,cancer,0.09124292460205763,0.09124292460205763,0.8190751848985208,0.072992700729927,False,2020,-0.05879728984895394,linear-based multivariate
MTBLS1122-MTBLS1122LCMSpositivehilicmetaboliteprofiling-Descendingcoloncancer-Healthy,MTBLS1122,m_MTBLS1122_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv,120,10,Factor Value[Disease],Descending colon cancer,Healthy,Liquid Chromatography MS - positive - hilic,"Department of Environmental Health Sciences, Yale School of Public Health, Yale University, New Haven, CT, USA",2020-03-19,Homo sapiens,0.5,0.7736626723057645,0.8473018483709274,SVMlinear,0.8473018483709274,multivariate models performs better than univariate models,?,39.0,81.0,SVMlinear,0.8473018483709274,RF,0.7821794068504595,LCMS,Homo sapiens,Homo sapiens,phenotype description  disease  values  descending colon cancer  healthy  organism  homo sapiens,0.31173903770172856,-0.1424834285638963,cancer,0.0736391760651629,0.0736391760651629,0.8473018483709274,0.08333333333333333,False,2020,-0.06512244152046787,linear-based multivariate
MTBLS1124-MTBLS1124LCMSnegativehilicmetaboliteprofiling-Ascendingcoloncancer-Descendingcoloncancer,MTBLS1124,m_MTBLS1124_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv,179,35,Factor Value[Disease],Ascending colon cancer,Descending colon cancer,Liquid Chromatography MS - negative - hilic,"Department of Environmental Health Sciences, Yale School of Public Health, Yale University, New Haven, CT, USA",2020-03-19,Homo sapiens,0.5,0.69004768827234,0.703085245991109,RF,0.703085245991109,multivariate and univariate models are equivalent,?,81.0,98.0,SVMlinear,0.662528880057421,RF,0.703085245991109,LCMS,Homo sapiens,Homo sapiens,phenotype description  disease  values  ascending colon cancer  descending colon cancer  organism  homo sapiens,0.27644507617065106,-0.14380588686692544,cancer,0.013037557718769022,0.013037557718769022,0.703085245991109,0.19553072625698323,False,2020,0.04055636593368794,univariate
MTBLS1124-MTBLS1124LCMSnegativehilicmetaboliteprofiling-Ascendingcoloncancer-Healthy,MTBLS1124,m_MTBLS1124_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv,137,35,Factor Value[Disease],Ascending colon cancer,Healthy,Liquid Chromatography MS - negative - hilic,"Department of Environmental Health Sciences, Yale School of Public Health, Yale University, New Haven, CT, USA",2020-03-19,Homo sapiens,0.5,0.7806656933108173,0.7968396718735341,RF,0.7968396718735341,multivariate and univariate models are equivalent,?,39.0,98.0,SVMrbf,0.7935220529599399,RF,0.7968396718735341,LCMS,Homo sapiens,Homo sapiens,phenotype description  disease  values  ascending colon cancer  healthy  organism  homo sapiens,0.31877677836069956,-0.136517490795876,cancer,0.01617397856271685,0.01617397856271685,0.7968396718735341,0.25547445255474455,False,2020,0.003317618913594167,univariate
MTBLS1124-MTBLS1124LCMSnegativehilicmetaboliteprofiling-Descendingcoloncancer-Healthy,MTBLS1124,m_MTBLS1124_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv,120,35,Factor Value[Disease],Descending colon cancer,Healthy,Liquid Chromatography MS - negative - hilic,"Department of Environmental Health Sciences, Yale School of Public Health, Yale University, New Haven, CT, USA",2020-03-19,Homo sapiens,0.5,0.9269593253968254,0.9269593253968254,SCM,0.926264880952381,multivariate and univariate models are equivalent,?,39.0,81.0,SVMrbf,0.8849173715538847,SCM,0.926264880952381,LCMS,Homo sapiens,Homo sapiens,phenotype description  disease  values  descending colon cancer  healthy  organism  homo sapiens,0.31173903770172856,-0.1424834285638963,cancer,-0.000694444444444331,0.000694444444444331,0.9269593253968254,0.2916666666666667,False,2020,0.041347509398496296,univariate
MTBLS1129-MTBLS1129LCMSpositivereversephasemetaboliteprofiling-Ascendingcoloncancer-Descendingcoloncancer,MTBLS1129,m_MTBLS1129_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv,179,21,Factor Value[Disease],Ascending colon cancer,Descending colon cancer,Liquid Chromatography MS - positive - reverse phase,"Department of Environmental Health Sciences, Yale School of Public Health, Yale University, New Haven, CT, USA",2020-03-19,Homo sapiens,0.5,0.7182228407557355,0.7182228407557355,SVMrbf,0.6380507263634199,univariate models performs better than multivariate models,?,81.0,98.0,SVMrbf,0.6380507263634199,RF,0.6300889679421027,LCMS,Homo sapiens,Homo sapiens,phenotype description  disease  values  ascending colon cancer  descending colon cancer  organism  homo sapiens,0.2763870780514982,-0.14385901768347456,cancer,-0.08017211439231564,0.08017211439231564,0.7182228407557355,0.11731843575418995,False,2020,-0.007961758421317189,univariate
MTBLS1129-MTBLS1129LCMSpositivereversephasemetaboliteprofiling-Ascendingcoloncancer-Healthy,MTBLS1129,m_MTBLS1129_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv,137,21,Factor Value[Disease],Ascending colon cancer,Healthy,Liquid Chromatography MS - positive - reverse phase,"Department of Environmental Health Sciences, Yale School of Public Health, Yale University, New Haven, CT, USA",2020-03-19,Homo sapiens,0.5,0.5550639913062514,0.7587732491321888,SVMlinear,0.7587732491321888,multivariate models performs better than univariate models,?,39.0,98.0,SVMlinear,0.7587732491321888,rSCM,0.7255928577571379,LCMS,Homo sapiens,Homo sapiens,phenotype description  disease  values  ascending colon cancer  healthy  organism  homo sapiens,0.31877677836069956,-0.136517490795876,cancer,0.2037092578259374,0.2037092578259374,0.7587732491321888,0.15328467153284672,False,2020,-0.03318039137505091,linear-based multivariate
MTBLS1129-MTBLS1129LCMSpositivereversephasemetaboliteprofiling-Descendingcoloncancer-Healthy,MTBLS1129,m_MTBLS1129_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv,120,21,Factor Value[Disease],Descending colon cancer,Healthy,Liquid Chromatography MS - positive - reverse phase,"Department of Environmental Health Sciences, Yale School of Public Health, Yale University, New Haven, CT, USA",2020-03-19,Homo sapiens,0.5,0.676158495196324,0.8310914003759399,SVMlinear,0.8310914003759399,multivariate models performs better than univariate models,?,39.0,81.0,SVMlinear,0.8310914003759399,rSCM,0.7481699039264829,LCMS,Homo sapiens,Homo sapiens,phenotype description  disease  values  descending colon cancer  healthy  organism  homo sapiens,0.31173903770172856,-0.1424834285638963,cancer,0.1549329051796159,0.1549329051796159,0.8310914003759399,0.175,False,2020,-0.08292149644945701,linear-based multivariate
MTBLS113-euglenawaxesterresearchapril2014metaboliteprofilingmassspectrometry-BleachedmutantSMZKstrain-wildtypeZstrain,MTBLS113,m_euglena_wax_ester_research_april_2014_metabolite_profiling_mass_spectrometry_v2_maf.tsv,36,65,Factor Value[Euglena strain],Bleached mutant (SM-ZK strain),wild type (Z strain),GCT Premier (Waters),"RIKEN Center for Sustainable Resource Science, 1-7-22 Suehiro-cho, Tsurumi-ku, Yokohama, Kanagawa, Japan",2014-09-04,Euglena gracilis,0.5,0.867559523809524,0.8821428571428572,PLSDA,0.8821428571428572,multivariate and univariate models are equivalent,?,18.0,18.0,PLSDA,0.8821428571428572,AdaBoost,0.8733630952380953,GCMS,other or unknown,other or unknown,phenotype description  euglena strain  values  bleached mutant (sm-zk strain)  wild type (z strain)  organism  euglena gracilis,-0.166190176398594,0.05886410522837161,mutation,0.014583333333333282,0.014583333333333282,0.8821428571428572,1.8055555555555556,True,2014,-0.008779761904761929,univariate
MTBLS1145-MTBLS1145AutoAssignNMR-2point5percentglycerol-Control,MTBLS1145,m_MTBLS1145_Auto_Assign_NMR_v2_maf.tsv,23,51,Factor Value[Diet],2.5% glycerol,Control,Nuclear Magnetic Resonance (NMR),"Center for Neuroscience and Cell Biology, University of Coimbra + Centre for Functional Ecology, Department of Life Sciences, University of Coimbra",2022-02-14,Dicentrarchus labrax,0.5,0.875,0.9010416666666666,SVMlinear,0.9010416666666666,multivariate models performs better than univariate models,?,11.0,12.0,SVMlinear,0.9010416666666666,SCMBoost,0.8541666666666666,NMR,other or unknown,other or unknown,phenotype description  diet  values  2.5% glycerol  control  organism  dicentrarchus labrax,-0.16619680049270832,0.1649843732576913,diet,0.02604166666666663,0.02604166666666663,0.9010416666666666,2.217391304347826,True,2022,-0.046875,linear-based multivariate
MTBLS1145-MTBLS1145AutoAssignNMR-5percentglycerol-2point5percentglycerol,MTBLS1145,m_MTBLS1145_Auto_Assign_NMR_v2_maf.tsv,22,51,Factor Value[Diet],5% glycerol,2.5% glycerol,Nuclear Magnetic Resonance (NMR),"Center for Neuroscience and Cell Biology, University of Coimbra + Centre for Functional Ecology, Department of Life Sciences, University of Coimbra",2022-02-14,Dicentrarchus labrax,0.5,0.8333333333333333,0.8697916666666666,GBtree,0.8697916666666666,multivariate models performs better than univariate models,?,12.0,10.0,SVMlinear,0.7760416666666666,GBtree,0.8697916666666666,NMR,other or unknown,other or unknown,phenotype description  diet  values  5% glycerol  2.5% glycerol  organism  dicentrarchus labrax,-0.17711664669518107,0.14164932246043666,diet,0.03645833333333337,0.03645833333333337,0.8697916666666666,2.3181818181818183,True,2022,0.09375,rule-based multivariate
MTBLS1145-MTBLS1145AutoAssignNMR-5percentglycerol-Control,MTBLS1145,m_MTBLS1145_Auto_Assign_NMR_v2_maf.tsv,21,51,Factor Value[Diet],5% glycerol,Control,Nuclear Magnetic Resonance (NMR),"Center for Neuroscience and Cell Biology, University of Coimbra + Centre for Functional Ecology, Department of Life Sciences, University of Coimbra",2022-02-14,Dicentrarchus labrax,0.5,0.96875,0.96875,AdaBoost,0.9479166666666666,univariate models performs better than multivariate models,?,11.0,10.0,SVMrbf,0.84375,AdaBoost,0.9479166666666666,NMR,other or unknown,other or unknown,phenotype description  diet  values  5% glycerol  control  organism  dicentrarchus labrax,-0.1697040507069924,0.16774380488153884,diet,-0.02083333333333337,0.02083333333333337,0.96875,2.4285714285714284,True,2022,0.10416666666666663,univariate
MTBLS1183-clinicmetaboliteprofilingmassspectrometry1-InflammatoryBowelDisease-HealthyControl,MTBLS1183,m_clinic_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv,150,31,Factor Value[Disease],Inflammatory Bowel Disease,Healthy Control,Liquid Chromatography MS - Negative (LC-MS (Negative)),"South China University of Technology, Guangzhou 510006, P. R. China + Sun Yat-sen University, Guangzhou 510006, P. R. China",2021-10-18,Homo sapiens,0.5,0.9733183547618532,1.0,SVMlinear,1.0,multivariate models performs better than univariate models,?,51.0,99.0,SVMlinear,1.0,GBtree,0.9852658371040723,LCMS,Homo sapiens,Homo sapiens,phenotype description  disease  values  inflammatory bowel disease  healthy control  organism  homo sapiens,0.25575139920335893,-0.005439506507497055,disease,0.026681645238146756,0.026681645238146756,1.0,0.20666666666666667,False,2021,-0.01473416289592766,linear-based multivariate
MTBLS1187-MTBLS1187GCMSmetaboliteprofiling-HohenheimHOH-GaterslebenGAL,MTBLS1187,m_MTBLS1187_GC-MS___metabolite_profiling_v2_maf.tsv,80,127,Factor Value[Location],Hohenheim (HOH),Gatersleben (GAL),Gas Chromatography MS,"Plant Metabolism and Metabolomics Laboratory, Heinrich Heine University, 40225 Düsseldorf, Germany",2019-11-12,Triticum aestivum,0.5,0.9651041666666668,1.0,ElasticNet,1.0,multivariate models performs better than univariate models,?,40.0,40.0,PLSDA,1.0,RF,0.9921875,GCMS,Plants,plants,phenotype description  location  values  hohenheim (hoh)  gatersleben (gal)  organism  triticum aestivum,-0.22855682696484914,-0.2728470666497125,location,0.03489583333333324,0.03489583333333324,1.0,1.5875,True,2019,-0.0078125,linear-based multivariate
MTBLS1187-MTBLS1187GCMSmetaboliteprofiling-HohenheimHOH-IhingerHofIHO,MTBLS1187,m_MTBLS1187_GC-MS___metabolite_profiling_v2_maf.tsv,80,127,Factor Value[Location],Hohenheim (HOH),Ihinger Hof (IHO),Gas Chromatography MS,"Plant Metabolism and Metabolomics Laboratory, Heinrich Heine University, 40225 Düsseldorf, Germany",2019-11-12,Triticum aestivum,0.5,0.9559027777777778,1.0,GBtree,1.0,multivariate models performs better than univariate models,?,40.0,40.0,PLSDA,1.0,GBtree,1.0,GCMS,Plants,plants,phenotype description  location  values  hohenheim (hoh)  ihinger hof (iho)  organism  triticum aestivum,-0.20851079546414664,-0.2959541616059154,location,0.04409722222222223,0.04409722222222223,1.0,1.5875,True,2019,0.0,rule-based multivariate
MTBLS1187-MTBLS1187GCMSmetaboliteprofiling-IhingerHofIHO-GaterslebenGAL,MTBLS1187,m_MTBLS1187_GC-MS___metabolite_profiling_v2_maf.tsv,80,127,Factor Value[Location],Ihinger Hof (IHO),Gatersleben (GAL),Gas Chromatography MS,"Plant Metabolism and Metabolomics Laboratory, Heinrich Heine University, 40225 Düsseldorf, Germany",2019-11-12,Triticum aestivum,0.5,0.8881944444444445,1.0,ElasticNet,1.0,multivariate models performs better than univariate models,?,40.0,40.0,PLSDA,1.0,GBtree,0.9800347222222222,GCMS,Plants,plants,phenotype description  location  values  ihinger hof (iho)  gatersleben (gal)  organism  triticum aestivum,-0.26105274823578056,-0.2578323116136761,location,0.11180555555555549,0.11180555555555549,1.0,1.5875,True,2019,-0.01996527777777779,linear-based multivariate
